,layer,head,aa,attn_occur_norm
3128,7,16,K,0.84245807
3134,7,16,R,0.8545
3142,7,17,D,0.8633618
3143,7,17,E,0.9768964
3148,7,17,K,0.92205834
3154,7,17,R,0.8425977
3162,7,18,D,1.61376
3163,7,18,E,2.1617873
3168,7,18,K,2.180287
3174,7,18,R,0.726349
3182,7,19,D,1.0802284
3183,7,19,E,1.1794093
3188,7,19,K,1.3239268
3194,7,19,R,0.938439
3202,8,0,D,0.4640413
3203,8,0,E,0.4823921
3208,8,0,K,0.57620126
3214,8,0,R,0.68556446
3222,8,1,D,0.99153626
3223,8,1,E,1.0552691
3228,8,1,K,1.0551912
3234,8,1,R,0.9268434
3242,8,2,D,1.010679
3243,8,2,E,1.0395268
3248,8,2,K,1.0748239
3254,8,2,R,1.2270494
3262,8,3,D,0.61838394
3263,8,3,E,0.61580557
3268,8,3,K,0.7175666
3274,8,3,R,0.66593164
3282,8,4,D,1.2359164
3283,8,4,E,1.2853262
3288,8,4,K,1.0134794
3294,8,4,R,0.8741592
3302,8,5,D,0.9813447
3303,8,5,E,0.957134
3308,8,5,K,0.9631675
3314,8,5,R,0.98471755
3322,8,6,D,0.78262186
3323,8,6,E,0.72397786
3328,8,6,K,0.815198
3334,8,6,R,0.93340695
3342,8,7,D,0.72520036
3343,8,7,E,0.70470935
3348,8,7,K,0.87814224
3354,8,7,R,0.96531147
3362,8,8,D,0.8966542
3363,8,8,E,0.77801985
3368,8,8,K,0.6772956
3374,8,8,R,0.70084554
3382,8,9,D,0.93786037
3383,8,9,E,0.6743457
3388,8,9,K,0.7056328
3394,8,9,R,0.8730216
3402,8,10,D,1.2091678
3403,8,10,E,1.4156821
3408,8,10,K,1.5586666
3414,8,10,R,1.5277368
3422,8,11,D,0.8299487
3423,8,11,E,0.9141883
3428,8,11,K,1.0873551
3434,8,11,R,1.1525927
3442,8,12,D,0.7223376
3443,8,12,E,0.7094368
3448,8,12,K,0.9126332
3454,8,12,R,0.9303927
3462,8,13,D,0.6199202
3463,8,13,E,0.6122281
3468,8,13,K,0.62051564
3474,8,13,R,0.76406384
